OBJECTID_12,OBJECTID,PIN15,PermitNum,ISSUE_DATE,COMMENTS,DESCRIPTIO,PID,BLDB_ACTIV,TOTAL_ROOM,BLD_Cost,ESTIMATED_,ESTIMATE_1,SQFT_LAND,SQFT_FLOOR,BLD_Type,Occupancy,TYPE,PmtStatus,BLDB_ACT_1,Name
140,5837,0822-58-20-1193,19101448,4/23/2019 0:00,"OWNER ON APPL. IS PROGREEN HOME, LLC. State Contractorfts License is valid
e-mailed comments to: andrewgullett@gmail.com CW 4/8/19                                                          05/15/19 - gc picked up bldg permit - sm",EXREV: REMODEL,106310,ALT,0,39200,3000,4500,0,0,Single Family House,Single Family,RESI,CO Issued,Alterations,M19
141,5838,0822-07-58-3081,18101004,8/2/2018 0:00,"The contracting license number is valid, is the proper classification for this project and the financial limitation of the license for this application has not been exceeded as of the review date. As of the final review date, 1 August, 2018, there are no","EXREV   enclose carport creating a bedroom, bathroom and laundry room. Existing slab/foundation to be inspected in the field for code compliance.",106313,ALT,0,13000,2500,0,0,278,Single Family House,Single Family,RESI,CO Issued,Alterations,M19
142,5839,0822-07-58-3081,19104838,11/19/2019 0:00,"Owner on app:  Roellgen, Beth (contractor email:  kim@sierrastructures.com) (picked up 11/20/19)",EXREV   build 14 ft x 18 ft attached deck approximately 36 in above grade  No Per Lot Impervious Limit,106313,R_DECK,0,6300,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Residential - Decks,M19
143,5842,0822-07-57-3786,20102825,7/10/2020 0:00,"As of 6 July, 2020, there are no conflicting permits, conditions or stop work orders on either the parcel or application in the LDO. According to Durham Maps, there are no historic overlays or designations on this parcel or structure. John K. Read, Jr. c",SMPR: Demolition of House,106320,DEM,0,1000,0,0,0,1312,Single Family House,Single Family,RESI,Issued,Demolition,M19
144,5843,0822-07-57-2795,22101897,5/17/2022 0:00,no conflicting permits 4/27/2022 LAC ***PERMIT ISSUED VIA EMAIL 5.18.22 DB***,SMPR Bathroom renovation,106321,ALT,0,26000,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Alterations,M19
145,5844,0822-07-57-2810,19100539,2/11/2019 0:00,OWNER ON APPL. IS ANGELA WADE,EXREV: FOUNDATION REPAIR. REINFORCE FLOOR FRAME & JOIST PER ENG. SPEC.,106322,RP,0,7075,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,M19
146,6418,0821-18-30-4297,21100233,2/9/2021 0:00,"permit issued via box.com 2-9-21 CRW
OWNER ON APPL. IS JONATHAN WILKINS. online payment notification email function not working from home- emailed contractor directly for fees-1.15.21 -db (lien form pending) 
",NEW SFD LOT C no MAIS 2 street trees,107596,NEW,5,410000,0,0,7657,3758,Single Family House,Single Family,RESI,CO Issued,New,S19
147,6419,0821-30-42-9761,20100687,4/8/2020 0:00,Box.com permit issued and sent to contractor - 04/21/2020-MN,NEW CONSTRUCTION - no MAIS 2 street trees,107596,NEW,5,250900,0,0,7657,3682,Single Family House,Single Family,RESI,Issued,New,S19
148,6420,0821-18-30-4297,20100687,4/8/2020 0:00,Box.com permit issued and sent to contractor - 04/21/2020-MN,NEW CONSTRUCTION - no MAIS 2 street trees,107596,NEW,5,250900,0,0,7657,3682,Single Family House,Single Family,RESI,Issued,New,S19
149,6421,0821-18-30-3270,1413149,10/14/2014 0:00,"Owner: Matthew Servant & Sarah Babin (919) 921-6130
Contractor: Iron Eagle Builders, Inc. - Vernon Little
(919) 619-5734  vlittle70@gmail.com","INTERIOR REMODEL OF MASTER BEDROOM & CLOSETS, REPLACE WINDOWS, ADD HVAC",107600,I_ALT,0,38900,1400,6500,0,400,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,S19
150,6422,0821-18-30-3270,1410265,2/4/2014 0:00, ,REMODEL KITCHEN,107600,I_ALT,0,50200,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,S19
151,6423,0821-18-30-3270,20101321,4/13/2020 0:00,"05/18/20 - permit package re-emailed to gc - sm ****                                                               Permit issued via email 5-13-20 crw
no floodplain on GIS",SMPRFull Bathroom Remodel,107600,ALT,0,13000,2800,2400,0,0,Single Family House,Single Family,RESI,Issued,Alterations,S19
152,6424,0821-18-30-3270,22102490,6/15/2022 0:00,"Permit docs sent via email 6-16-22 CRW 
SMPR application requested - 
no conflicting permits, 77473 is valid Pool licence - 5/27/2022 LAC",SMPR   pool; concrete patio and pad,107600,OT,0,55608,2500,2500,0,0,Single Family House,Single Family,RESI,CO Issued,Other,S19
153,6445,0821-30-04-4752,17100445,3/2/2017 0:00,"As of the initial review date, 9 February, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read.
",Interior Renovation,107648,I_ALT,0,102402,8115,4300,0,0,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,S19
154,6446,0821-30-34-2641,20105688,,"Application voided in lieu of application 20105684. See attached. John K. Read, Jr. DUPLICATE PERMIT - comments sent to applicant 12/21/2020 LA (See 20105684)",SMPR: Addition,107652,ADD,0,0,0,0,0,0,Single Family House,Single Family,RESI,Void,Addition,S19
155,6447,0821-30-34-2641,20105684,2/11/2021 0:00,"permit issued via email 2-11-21 CRW
Double Fee Waived (SWO) Spoke with owner to clarify costsOEA submitted in December WCB 
Online payment notification email function not working from home- emailed contractor directly for fees-12.18.20  -db
",***SMPR- ADDITION,107652,ADD,2,35649.13,0,0,0,325,Single Family House,Single Family,RESI,Issued,Addition,S19
156,6448,0821-30-36-8366,16100834,3/14/2016 0:00," As of the initial review date, 11 March, 2016, there are current conditions or stop work orders for either this application or parcel on the LDO. John Read.
",INSTALL HELICAL PIERS AND CARBON FIBER STRIPS TO STABILIZE FOUNDATION,107654,RP,0,11800,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,S19
157,6477,0821-18-31-2240,16103858,10/4/2016 0:00,"1+ year no activity
As of the initial review date, 3 October, 2016, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read.
",Kitchen renovation.,107696,I_ALT,0,37960,2300,0,0,0,Single Family House,Single Family,RESI,Void,Interior Alterations,S19
158,6481,0821-18-31-0379,18101546,4/25/2018 0:00,e-mailed comments to: ALDON@YELVERTONCONTRACTING.COM CW 4/11/18,"EX. REV: ADD LIVING SPACE ABOVE GARAGE, RENOVATE 2ND FLOOR ROOMS, ADDITION OF GARAGE 72 SF; no impervious limits; no stream buffers visible on i-maps",107708,ADD,2,143494,5000,1200,0,426,Single Family House,Single Family,RESI,CO Issued,Addition,S19
159,6482,0821-18-31-0379,21103351,7/19/2021 0:00,"Permit issued via email. 7/20/21. rlc.    License  57309 valid, bd  ul..    no conditions or conflicts. J. Read, as of 7/7/21.       Uploaded 7/1/21. BH",SMPR: Replace existing deck with new deck and screen porch no MAIS,107708,ADD,0,93300,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Addition,S19
160,6483,0821-18-31-0309,19101952,5/10/2019 0:00,bp picked up 5.13.19,Exrev 18x16 Screen Porch and 15.6x16 Deck,107709,R_DECK,0,24400,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Residential - Decks,S19
161,6484,0821-18-21-8387,1212397,9/10/2012 0:00,"SEE 1245511 FO MECH INFO
ELEC FINAL NEVER APPD",ADD SUNROOM AND DECK TO REAR OF HOME; NO IMPERVIOUS LIMITS.,107710,ADD,0,35000,1500,2000,0,178,Single Family House,Single Family,RESI,Void,Addition,S19
162,6503,0821-31-30-9049,1310707,3/28/2013 0:00, ,ACCESSORY DWELLING (716 SF) within primary dwelling.,107758,ALT,0,10450,1750,5600,0,716,Accessory Dwelling,Single Family,RESI,CO Issued,Alterations,S19
163,6504,0821-31-30-9049,1311843,7/3/2013 0:00,"As of the initial review date, 20 June, 2013, no stop work order or any other conditions were found on the LDO. Note: I copied myself onthe e-mail to the applicant, 6/20/2013. I never received the copy.  John Read.
",Creation of theater/media room (FRAMING OUT BLOCK WALLS AND SHEETROCK CEILING & WALLS),107758,ALT,0,2200,500,500,0,760.905,Single Family House,Single Family,RESI,CO Issued,Alterations,S19
164,6505,0821-31-30-9049,22101318,4/22/2022 0:00,"Permit docs sent via email 4-25-22 CRW 
59807 is valid unlim GC, no conflicting permits 3/22/2022 LAC /036802 is current Eng 4/12/2022 LAC",SMPR   renovate existing kitchen and remove 13 ft of exterior wall; create expanded kitchen and new screen porch  No MAIS,107758,ADD,0,156730,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Addition,S19
165,6506,0821-31-20-6114,22105063,,"As of 2 November 2022, there are no conflicting permits, stop work orders or other pertinent conditions on either the parcel or application in the LDO. I sent my comments at 16:50 on 11/2/22. My comments were sent on 12/28/22 at 14:28 . John K. Read, Jr.",SMPR - lean to style shed with loft for storage,107759,OT,0,3000,0,0,0,192,Accessory Structure,Single Family,RESI,Void,Other,S19
166,6507,0821-31-20-6114,910445,3/12/2009 0:00, ,OPENING UP STAIRS ON 1ST FLOOR WITH LVL BEAMS,107759,I_ALT,0,3900,0,0,0,0,Single Family House,Single Family,RESI,Void,Interior Alterations,S19
167,6508,0821-31-10-6117,1312358,7/31/2013 0:00,"As of the initial review date, 30 July, 2013, no stop work order or any other conditions were found on the LDO.  John Read.
",STRUCTURAL/FOUNDATION REPAIR,107760,RP,0,13500,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,S19
168,6509,0821-31-10-6117,1311203,5/28/2013 0:00,The owner listed on the application is Will Elliott.,KITCHEN REMODEL,107760,I_ALT,0,18100,3000,1900,0,0,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,S19
169,6510,0821-31-00-6210,1013270,12/3/2010 0:00, ,DECK AND SCREENED PORCH; no impervious surface restrictions,107761,ADD,0,15000,600,0,0,0,Single Family House,Single Family,RESI,CO Issued,Addition,S19
170,6512,0821-30-38-4579,21102374,5/17/2021 0:00,"permit issued via email 5-18-21 CRW
As of 13 May, 2021, there are no conflicting permits or stop work orders on either the parcel or application in the LDO. The North Carolina contracting license number, 20904,  of the applicant has  been renewed  for 2","SMPR: Renovation. Divide an existing bedroom into two, addtwo new windows and removes an old one.",107769,ALT,1,22895,0,0,0,0,Single Family House,Single Family,RESI,Issued,Alterations,S19
171,6832,0821-09-05-3914,23104275,9/14/2023 0:00,"Permit docs sent via email 9-15-23 CRW
No conflicting permits. AF 9-13-2023//",SMPR - Foundation Repair,108236,RP,0,16260,0,0,0,0,Single Family House,Single Family,RESI,Issued,Repair,Q18
172,6833,0821-09-05-2830,911933,8/13/2009 0:00,FAXED SMOKE ALARM FORM TO GC,Addition & Screen Porch; no impervious surface restrictions.,108237,ADD,0,23800,1000,200,0,154,Single Family House,Single Family,RESI,CO Issued,Addition,Q18
173,6834,0821-09-05-3830,20100745,5/1/2020 0:00,"Uploaded 2/18/20***PLANS HAVE BEEN SENT TO GC VIA BOX EMAIL 5.6.20-DB***
",NEW SFD: Lot 3; Park Place  No per lot impervious limit 1 street tree  1 lot tree,108239,NEW,5,126456,0,0,7123,1916,Single Family House,Single Family,RESI,CO Issued,New,Q18
174,6835,0821-09-05-2650,19104255,10/9/2019 0:00,"Picked up permit-MN-10.15.19
no flood plain on GIS",Install helical piers to stablize foundation designed buy structural engineer,108249,RP,0,2800,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,Q18
175,6836,0821-09-05-4476,16104336,11/9/2016 0:00,"As of the initial review date, 8 November, 2016, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. dlwmsconst@frontier.com",REMODEL OF FULL BATH & KITCHEN,108253,I_ALT,0,15850,1200,450,0,0,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,Q18
176,6837,0821-09-05-5465,1411909,8/6/2014 0:00,"Notified GC, via e-mail, that a smoke/carbon monoxide alarm form is required for permit issuance.",REMODEL & SECOND FLOOR ADDITION (ADD ACCESSORY DWELLING IN BASEMENT),108255,ADD,0,65000,10000,10000,0,903,Single Family House,Single Family,RESI,CO Issued,Addition,Q18
177,6838,0821-09-05-2141,16100642,3/3/2016 0:00,"No activity 1+ year WCB
Bin 250 Mechanical permit and work will be required. (BP Picked up 3.11.16 CG)","ADD BEDROOM & BATH TO REAR OF HOME, No Impervious",108258,ADD,1,24758,1350,0,0,270,Single Family House,Single Family,RESI,Void,Addition,Q18
178,6839,0821-09-05-3162,1211371,5/9/2012 0:00, ,REBUILD BURNT PART OF STRUCTURE. Note: sealed truss drawings are required to be on site for the roof framing inspection.,108260,RP,0,16100,1500,2200,7448,0,Single Family House,Single Family,RESI,CO Issued,Repair,Q18
179,6840,0821-09-05-6171,1413378,11/3/2014 0:00," As of the initial review date,  1 November, 2014, there are no conditions or stop work orders in the LDO.  John Read. PERMIT PICKED UP 11/5/14.
",REAR ADDITION and deck. There are no impervious limits on this property.,108266,ADD,0,42000,3000,0,7500,360,Single Family House,Single Family,RESI,CO Issued,Addition,Q18
180,6841,0821-09-05-5266,1110875,4/1/2011 0:00,Ownerfts phone #: 919-452-2787.,UTILITY STORAGE SHED (8 x 10); no impervious limits. Ownerfts phone #: 919-452-2787.,108270,OT,0,500,0,0,0,80,Accessory Structure,Single Family,RESI,CO Issued,Other,Q18
181,6842,0821-13-04-5911,1413408,10/30/2014 0:00,"    Owner contact 919-608-6050 dcaronatsunrise@aol.com - Owner paid $125 - Visa - 10/21/14.  As of the initial review date,  30 October, 2014, there are no conditions or stop work orders in the LDO.  John Read.; 7/29/15 voided per W.C. Blalock, permit",CEMENT WINDOW HOLES. This permit is to seal non-habitable space. John Read.,108285,MN,0,300,0,0,0,0,Single Family House,Single Family,RESI,Void,Minimum Housing,Q18
182,6845,0821-13-04-8926,23103402,8/1/2023 0:00,"Permit docs sent via email 8-2-23 CRW
As of 8/1/23, there are no conflicting permits, stop work orders or other pertinent conditions on either the parcel or application in the LDO. The North Carolina contracting license number listed by the applicant, 7",SMPR: Foundation repair,108296,RP,0,9800,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,Q18
183,6846,0811-12-96-9021,18104232,9/25/2018 0:00, ,ExRev - REMOVE OLD EXTERIOR STAIRS - BUILD NEW ONES WITH ROOF; no impervious limits; no stream buffers visible on go-maps,108301,ADD,0,19500,0,0,0,128,Single Family House,Single Family,RESI,CO Issued,Addition,Q18
184,6847,0811-12-96-9021,17100139,1/30/2017 0:00,"6+ mos no activity
MB, 1-25-2017: Permit for retaining walls only.",2 SEGMENTAL BLOCK RETAINING WALLS - LANDSCAPE IMPROVEMENT - RETAINING WALLS IN BACK AND SIDE; SF; No impervious limits,108301,OT,0,23626.15,0,0,19480,0,Single Family House,Retaining Wall,NON_RESI,Void,Other,Q18
185,6848,0811-12-96-9021,16104602,12/1/2016 0:00,D-plans,DECK REMODEL; SF; No impervious limits,108301,R_DECK,0,53100,1400,0,19210,27.5,Single Family House,Single Family,RESI,CO Issued,Residential - Decks,Q18
186,6851,0821-09-05-0585,23105879,1/8/2024 0:00,"Permit and jobsite sent via box.com 1-10-24 CRW
   As of 12/28/23, there are no conflicting permits, stop work orders or other pertinent conditions on either the parcel or application in the LDO.    The North Carolina contracting license number listed b",SMPR - solar installation of a 7.290 kW residential roof mount PV system,108310,ALT,0,9999,13657,0,0,0,Single Family House,Single Family,RESI,Issued,Alterations,Q18
187,6852,0821-09-05-0673,23105302,12/6/2023 0:00,"Permit docs sent via email 12-6-23 CRW
review fee payment for this permit was made on 11-9-23 so this permit shall remain for permitting.  applied missing payment information and voided duplicate permit 23105301 to prevent any additional confustion 12-5",SMPR - 12x24 shed,108311,NEW,0,10444,0,0,0,288,Accessory Structure,Single Family,RESI,Issued,New,Q18
188,6853,0821-09-05-0673,23105301,,"Cancelled payments made on 12-5-23  as fees were paid on duplicate permit 23105302 on 11-9-23 first.  This permit is voided due to duplicate and permit to proceed with is 23105301. CRW

Uploaded 11/9/23. BH || Corrected app requested. BH",SMPR: 12x24 Shed,108311,NEW,0,0,0,0,0,0,Accessory Structure,Single Family,RESI,Void,New,Q18
189,6854,0821-09-05-0781,17105176,12/21/2017 0:00,D-plans - e-mail - 12/20/17 (picked up 12/29/17. rlc),"RENOVATION OF KITCHEN, BATHROOM AND NEW LAUNDRY ROOM",108312,I_ALT,0,33000,1900,1675,0,0,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,Q18
190,6855,0821-09-05-0789,23104237,10/12/2023 0:00,"Permit docs sent via email 10-13-23 CRW
  My  comments were sent at 18:09 on 9/14/23.     As of 9/14/23, there are no conflicting permits or other pertinent conditions on either the parcel or application in the LDO. A stop work order for renovations witho",SMPR - full cosmetic renovation; remove non-load bearing wall in dining room; finished unfinished space in basement; frame basement walls for new finished area; frame exterior walls to provide space for insulation,108313,ALT,0,75000,0,0,0,0,Single Family House,Single Family,RESI,Issued,Alterations,Q18
191,6861,0821-13-05-0020,1511072,5/27/2015 0:00,GC picked up bldg permit 04/29/15.,"SFD, no impervious, street trees req.",108318,NEW,11,254496,0,0,34119,4099,Single Family House,Single Family,RESI,CO Issued,New,Q18
192,6862,0821-13-05-0020,1510907,,voided per Mr. Garrett,"SFD, no impervious, street trees req.",108318,NEW,9,0,0,0,34119,0,Single Family House,Single Family,RESI,Void,New,Q18
193,6863,0821-13-05-0020,19101574,4/17/2019 0:00,"As of the initial review date, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read.                                                                                     04/18/19 - refund memo for",EXREV install concrete pad for hot tub and to wire hot tub,108318,OT,0,4397,1025,0,0,0,Single Family House,Single Family,RESI,CO Issued,Other,Q18
194,9241,0832-17-21-1196,18100249,2/23/2018 0:00,"tckober@hotmail.com was sent an e-mail on 2/2/18; 2/9/18. . As of the initial review date, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. 
",Residental basement renovation with NO kitchen. The applicant will supply a RESCheck to the field inspector at the time of the insulation inspection. John Read.,109930,I_ALT,1,5000,2000,1000,0,250,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,O21
195,9242,0832-17-21-1196,24100417,,"attached plans 1-30-24 CRW
GC contact on appl: maddie@southern-energy.com
//No conflicting permits. AF 1-31-2024//","SMPRInstalliation of roof-mounted 8.91 kw solar PV system consisting of 22 modules, 1 inverter, and 1 PW battery.",109930,ALT,0,1000,37083,0,0,0,Single Family House,Single Family,RESI,Received,Alterations,O21
196,9243,0832-17-21-1170,1213794,1/14/2013 0:00, ,ATTIC CONVERSION/REMODEL,109931,I_ALT,0,7500,1000,2000,0,0,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,O21
197,9244,0832-17-21-1170,21102784,6/16/2021 0:00,"As of 11 June, 2021, there are no conflicting permits,  stop work orders or other conditions on either the parcel or application in the LDO. The North Carolina contracting license, number   70935, of the applicant is valid and the appropriate type and li",SMPRBedroom and porch addition,109931,ADD,0,80000,0,0,0,224,Single Family House,Single Family,RESI,Issued,Addition,O21
198,9245,0832-17-21-2021,1512686,7/29/2015 0:00,"As of the initial review date, 28 July, 2015, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read.
GC paid $135 - Visa - 07/27/15 - The owner listed on the application is Courtney Pera. - GC pi",REPAIR/REMODEL TO COMPLY WITH COMMUNITY IMPROVEMENT,109933,MN,0,10000,7000,5000,0,0,Duplex,Duplex,MULTI_FAMILY,Void,Minimum Housing,O21
199,9246,0832-17-21-2021,1512692,8/4/2015 0:00,"As of the initial review date, 3 August, 2015, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read.
GC paid $135 - Visa - 07/27/15 - The owner listed on the application is Courtney Pera. - GC p",REPAIR/REMODEL TO COMPLY WITH COMMUNITY IMPROVEMENT,109933,MN,0,10000,7000,3000,0,0,Duplex,Duplex,MULTI_FAMILY,Void,Minimum Housing,O21
200,9256,0832-17-11-9217,1113654,12/13/2011 0:00, ,8 x 10 ACCESSORY STRUCTURE; no impervious surface limits (not located within a regulated watershed).,109949,OT,0,3200,0,0,0,80,Accessory Structure,Single Family,RESI,CO Issued,Other,O21
201,9257,0832-17-21-0227,19104374,10/16/2019 0:00,Uploaded 10/4/19 no flood plain on GIS (picked up 10/29/2019),"EXREV: Residential Rooftop Solar System: 19 mods, 6080 WP DC",109950,ALT,6,16669,3000,0,0,1734,Single Family House,Single Family,RESI,Issued,Alterations,O21
202,9258,0832-17-21-0227,23101006,3/24/2023 0:00,"Permit docs sent via box.com 3-28-23 CRW 
As of 15 March, 2023, there are no conflicting permits, stop work orders or other pertinent conditions on either the parcel or application in the LDO.   There is an active PV array permit, 19104374. The North Ca","SMPR: Bed/bath addition.   There is an active PV array permit, 19104374.",109950,ADD,1,220000,0,0,0,317,Single Family House,Single Family,RESI,CO Issued,Addition,O21
203,9259,0832-17-21-0227,1211447,6/15/2012 0:00,SURVEY REQUIRED AT FOUNDATION INSPECTION,Single family dwelling; no impervious surface restrictions;  street trees required as per ordinance; 20ft driveway - SURVEY REQUIRED AT FOUNDATION INSPECTION,109950,NEW,6,114444,0,0,0,1734,Single Family House,Single Family,RESI,CO Issued,New,O21
204,9270,0832-17-11-6390,1312382,8/11/2013 0:00,$100.00 fee added for accessory structure,"New SFD & detached garage, no impervious, street trees req.",109959,NEW,7,127908,0,0,7347,1938,Single Family House,Single Family,RESI,CO Issued,New,O21
205,9271,0832-17-11-6390,20103232,7/28/2020 0:00,"permit issued/plans sent via email 7-30-20 CRW
online payment notification email function not working from home- emailed contractor directly for fees-7.24.20 -db
",SMPR- PV SOLAR PANELS 5.76 KW,109959,ALT,0,13594,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Alterations,O21
206,9292,0832-10-89-7654,1111116,5/11/2011 0:00, ,"NEW T&G CEILING & SUPPORT POSTS, REPLACE ONE WINDOW. please read all notes and attachments.",109982,ALT,0,20000,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Alterations,O21
207,9293,0832-10-89-7654,1211473,5/21/2012 0:00, ,FIRE REPAIRS,109982,RP,0,130000,5000,2700,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,O21
208,9294,0832-17-10-9977,16103976,10/21/2016 0:00,"As of the initial review date, 11 October, 2016, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read.
",PERMIT STATUTORILY NOT REQUIRED - APPLICANT WANTED IT ANYWAY. REPLACING 17 WINDOWS,109983,ALT,0,13443,0,0,0,0,Single Family House,Single Family,RESI,Void,Alterations,O21
209,9295,0832-17-10-9977,20103233,8/6/2020 0:00,Field Inspector to Verify Rafters are supported according to enginneer letter. LA 7/28/2020 /online payment notification email function not working from home- emailed contractor directly for fees-7.24.20-db //Karla Rosenberg confirmed that this is not,SMPR- PV SOLAR PANELS 7.8 DW /Field Inspector to Verify Rafters are supported according to enginneer letter. LA 7/28/2020,109983,ALT,0,17626,0,0,0,0,Single Family House,Single Family,RESI,Issued,Alterations,O21
210,9296,0832-17-11-9087,1410251,1/31/2014 0:00, ,ADDITION & REHAB; no impervious surface restrictions.,109984,ADD,0,40000,3000,3400,0,60,Single Family House,Single Family,RESI,CO Issued,Addition,O21
211,9297,0832-17-11-9194,22104480,9/27/2022 0:00,"Permit docs sent via email 9-28-22 CRW  
Valid GC and no conflicting permits. AF 9-26-2022//",SMPR - Foundation Repair,109985,RP,0,34000,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,O21
212,9298,0832-17-11-9194,24100046,1/16/2024 0:00,Permit docs sent via email 1-17-24 CRW,SMPR- RENOVATION OF EXISTING BATHROOM TO INCREASE BATHROOM SIZE & MODIFY BATHROOM LAYOUT INCLUDING NEW SHOWER & FIXTURES,109985,I_ALT,0,19300,0,0,0,0,Single Family House,Single Family,RESI,Issued,Interior Alterations,O21
213,9304,0832-17-01-8061,18105213,1/3/2019 0:00," exrev 
e-mailed comments to: jason@riverbankcustomhomes.com CW 12/17/18","window replacement, repainting of house, repair front porch and deck flooring. Schedule inspections of any framing members replaced.",109990,ALT,0,67817,2480,0,0,0,Single Family House,Single Family,RESI,CO Issued,Alterations,O21
214,9305,0832-17-01-9021,20104138,10/1/2020 0:00,"permit issued/plans sent via email 10-2-20 CRW
As of 24 September, 2020, there are no conflicting permits,  conditions or stop work orders on either the parcel or application in the LDO. The North Carolina contracting license, number 67356,  of the appl",SMPR: Installation of (23) rooftop solar modules.,109991,ALT,0,1584,18288,0,0,0,Single Family House,Single Family,RESI,CO Issued,Alterations,O21
215,9306,0832-17-11-0010,17101125,4/25/2017 0:00,"Permit application 17101183 has been voided, 20 April, 2017. It is redundant. J. Read.   A $200 re-review fee has been imposed. It must be paid before any re-reviews can be performed. Contact 919-560-4144 for information about payment. There are no chang","Existing, conditioned basement master bedroom renovations.",109993,I_ALT,1,19000,4,5,0,0,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,O21
216,9307,0832-17-11-0010,17101183,,"This permit is replaced by application 17101125. Voided on 20 April, 2017, by J. Read.   As of the initial review date, 5 April, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. owner",ExRev BASEMENT MASTER BEDROOM UPFIT,109993,I_ALT,0,16000,5000,6000,0,403.5,Single Family House,Single Family,RESI,Void,Interior Alterations,O21
217,9308,0832-17-11-0060,18105383,2/20/2019 0:00,"WDOSBORNECONST@EARTHLINK.NET  was sent an e-mail on 1/7/19 by JKR. As of the initial review date and there are no incomplete building  permits,  current conditions or stop work orders for either this application or parcel on the LDO. No stream buffers no",National Historic District. ExRev Residence Addition & Interior Renovation. No impervious limits.,109994,ADD,0,349500,15000,9800,0,619,Single Family House,Single Family,RESI,CO Issued,Addition,O21
218,9309,0832-17-10-1919,21101540,3/31/2021 0:00,"Permit Issued via Email. 3/31/21. rlc. owner on appl is Will Troxler; smoke form pending -Review fee notification sent direct via email 3.25.21 db
GC license is valid. AF 3-31-21

","SMPR- REMODEL KITCHEN, REMODEL MASTER BED & BATH",109995,I_ALT,0,115000,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,O21
219,9318,0832-17-10-8850,1211417,5/15/2012 0:00,Community Reinvestment Association of NC paid $75 - ck 6947 - 05/11/12. Plans consist of demolition permit application and informational documents. - GC picked up demo permit 05/17/12.,RESIDENTIAL DEMOLITION,110007,DEM,0,1000,0,0,0,1250,Single Family House,Single Family,RESI,CO Issued,Demolition,O21
220,9319,0832-17-10-8850,1410819,4/24/2014 0:00,"Permit Voided and replaced by BD 15104216 and BD 15104223
Notified arch, via e-mail, that a completed smoke/carbon monoxide alarm form is required for permit issuance.UNABLE TO LINK B1200006 BECAUSE ADDRESS IS DIFFERENT","INTERIOR RENOVATION AND REAR ADDITION, per Planning Variance, no impervious",110007,ADD,1,65000,20000,15000,0,505,Single Family House,Single Family,RESI,Void,Addition,O21
221,9320,0832-17-10-8850,15104216,11/25/2015 0:00,"As of the initial review date, 23 November,  2015, there  no current conditions or stop work orders for either this application or parcel on the LDO. John Read.
GC paid $75 - MC - 11/18/15 - GC picked up permit 12/01/15.",RESIDENTIAL DEMOLITION,110007,DEM,0,1000,0,0,0,600,Single Family House,Single Family,RESI,Void,Demolition,O21
222,9321,0832-17-10-8850,1510204,,"Notified GC, via e-mail, that a smoke/carbon monoxide alarm form is required for permit issuance. (no repsonse to comments since 2/5/15- application voided and plans tossed 12.31.15 DB)",CHANGE IN PLANS - RE:  1410819 - INTERIOR RENOVATION AND REAR ADDITION,110007,ADD,0,0,0,0,0,0,Single Family House, , ,Void,Addition,O21
223,9322,0832-17-10-8850,16103882,10/13/2016 0:00,"The owner listed on the application is Pier & Curtain Home Restoration: 919-951-5412
NOTE: variance was approved for rear setback: 5.4ft (see attached) plans picked up on 10-18-16 by builder ts",ADDITION & REMODEL; no impervious limits,110007,ADD,2,125000,7500,8000,0,960,Single Family House,Single Family,RESI,CO Issued,Addition,O21
