OBJECTID,TARGET_FID,id,permit_,permit_typ,review_typ,date_appli,time_appli,date_issue,time_issue,processing,street_num,street_dir,street_nam,suffix,work_descr,building_f,zoning_fee,other_fee_,subtotal_p,building_2,zoning_f_2,other_fe_2,subtotal_u,building_3,zoning_f_3,other_fe_3,subtotal_w,total_fee,community_,census_tra,ward,xcoordinat,ycoordinat,latitude,longitude,Name
128,39371,2896997,100735921,PERMIT - NEW CONSTRUCTION,SELF CERT,7/15/2018 0:00,00:00.0,7/15/2018 0:00,00:00.0,0,1909,W,WABANSIA,AVE,"SELF-CERT: NEW (3) STORY III-B CONST., SFR WITH ATTACHED 1 CAR GARAGE BASEMENT AND ROOF DECKS PER PLANS. CURRENT USE/OCCUPANCY CLASSIFICATION A1 RESIDENTIAL DOES NOT CHANGE.SPRINKLER SYSTEM INSATALLATION TO BE SUBMITTED FOR SEPARATE REVIEW AND APPPROVAL",3650,225,0,3875,0,0,0,0,0,0,0,0,3875,24,240300,2,1163312.776,1911293.159,41.91222987,-87.67546563,324
129,40227,2914030,100745449,PERMIT - RENOVATION/ALTERATION,SELF CERT,11/3/2019 0:00,00:00.0,11/3/2019 0:00,00:00.0,0,1901,W,WABANSIA,AVE,2ND STORY ADDITION OVER EXISTING GARAGE FOR AN EXISTING 4DU 2 STORY BUILDING,735.12,50,0,785.12,0,0,0,0,0,0,0,0,785.12,24,240300,2,1163404.514,1911295.794,41.91223517,-87.67512854,324
130,40313,2915568,100746234,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,3/19/2018 0:00,00:00.0,3/22/2018 0:00,00:00.0,3,710,W,14TH,ST,"***DIRECT DEVELOPER SERVICES*** REVISION TO PERMIT NUMBER 100680853; ENCLOSE AMENITY SPACE ON 5TH FLOOR; REVISIONS TO COMMON AREAS ON FLOORS ONE, FIVE, SIX AND SEVEN; LIGHTING IN THE GARAGE ON FLOORS 1 AND 2, AND LIGHTING IN CORRIDORS ON ALL FLOORS HAS B",2000,75,0,2075,0,0,0,0,0,0,0,0,2075,28,841900,11,1171667.635,1893673.483,41.86370041,-87.6452914,153
131,40354,2916171,100746557,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/10/2018 0:00,00:00.0,4/10/2018 0:00,00:00.0,0,1600,W,13TH,ST,INTERIOR BUILDOUT AND CHANGE OF USE FROM EXISTING CLASS F MERCANTILE TO PROPOSED CLASS E BUSINESS FOR A NEW REHABILITATION CENTRE.,833.87,75,0,908.87,0,0,0,0,0,0,0,0,908.87,28,842900,28,1165894.702,1894170.317,41.86518876,-87.66646924,55
132,40513,2918665,100747964,PERMIT - NEW CONSTRUCTION,SELF CERT,12/6/2018 0:00,00:00.0,12/6/2018 0:00,00:00.0,0,824,S,BELL,AVE,"SELF-CERTIFICATION REVIEW: ERECT 3 STORY 3 D.U. BUILDING (3B CONSTRUCTION) WITH BASEMENT, ROOFTOP DECK, REAR 3 STORY DECK, REAR 4 STORY STAIR TO ROOFTOP DECK, DETACHED 3 CAR GARAGE (3B CONSTRUCTION) WITH ROOFTOP DECK AS PER PLAN.",3261.13,150,1566,4977.13,0,0,0,0,0,0,0,0,4977.13,28,838200,28,1161478.894,1896136.251,41.87067646,-87.68262507,260/275
133,40717,2922065,100750038,PERMIT - RENOVATION/ALTERATION,SELF CERT,7/30/2018 0:00,00:00.0,7/30/2018 0:00,00:00.0,0,2700,S,KEDZIE,AVE,SELF-CERT: RE-IMAGE OF EXISTING 1-STORY BURGER KING RESTAURANT.  INTERIOR UPGRADE.  REFACE EXISTING EXTERIOR.  NEW ACCESSIBLE TOILETS,912.45,75,0,987.45,0,0,0,0,0,0,0,0,987.45,30,840800,22,1155424.799,1885860.534,41.84260253,-87.70512781,157
134,41114,2929902,100754968,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/3/2018 0:00,00:00.0,4/3/2018 0:00,00:00.0,0,2300,W,TAYLOR,ST,"disassemble south & east parapet wall down to roof line, saving coping tiles & discarding the damaged & deteriorated brick. rebuild parapet wall by replacing all brick with new brick..(no structural work)-  all work same as existing; subject to field ins",475,50,0,525,0,0,0,0,0,0,0,0,525,28,282800,28,1161185.621,1895567.051,41.86912061,-87.68371759,260/275
135,41331,2933628,100757203,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/17/2018 0:00,00:00.0,4/17/2018 0:00,00:00.0,0,1856,W,WABANSIA,AVE,"MASONRY REPAIR WORK, REPAIR PARAPET WALL, TUCKPOINTING TO CORRECT VIOLATIONS",475,50,0,525,0,0,0,0,0,0,0,0,525,24,240300,32,1163458.599,1911377.316,41.91245773,-87.67492754,324
136,41416,2934955,100758046,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/20/2018 0:00,00:00.0,4/24/2018 0:00,00:00.0,4,3544,W,POLK,ST,REVISION TO PERMIT # 100613636 TO CHANGE PLUMBING CONTRACTOR TO BRASERO PLUMBING & CONSTRUCTIO,75,0,0,75,0,0,0,0,0,0,0,0,75,27,271500,24,1152683.893,1896175.476,41.87096251,-87.71491363,244
137,41579,2937464,100759657,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,5/1/2018 0:00,00:00.0,5/1/2018 0:00,00:00.0,0,1834,W,NORTH,AVE,"area of work appx 1000sf: masonry repairs, tuckpointing, replace bricks -(no structural work)-  all work same as existing; subject to field inspections",475,75,0,550,0,0,0,0,0,0,0,0,550,24,240300,2,1163730.354,1910720.303,41.91064911,-87.67394775,324
138,42693,2956190,100771181,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8/28/2018 0:00,00:00.0,9/18/2018 0:00,00:00.0,21,617,N,WALLER,AVE,"REMOVE PARTITIONS IN BASEMENT, NEW REAR WOOD DECK, REPLACE FRONT PORCH, ADD NEW BEAM IN KITCHEN.",500,50,350,900,0,0,0,0,0,0,0,0,900,25,251400,29,1138262.747,1903598.514,41.8916052,-87.76767989,268
139,42775,2957589,100772030,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8/5/2019 0:00,00:00.0,3/26/2020 0:00,00:00.0,234,747,N,NOBLE,ST,FRONT BUILDING-4 STORY 5DU MFR: NEW METAL PORCH AND FIRE PREVENTION UPGRADES TO ADDRESS VIOLATIONS TO 4TH STORY FRAME ADDITION AS PER PLANS - *NO WORK TO REAR BUILDING-2-STORY COACH HOUSE***CERTIFIED CORRECTIONS- - SUBJECT TO FIELD INSPECTIONS & AUDIT **,750,75,625,1450,0,0,0,0,0,0,0,0,1450,24,243400,27,1166957.375,1905316.816,41.8957529,-87.66224819,292
140,43162,2965318,100776723,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,8/8/2018 0:00,00:00.0,8/8/2018 0:00,00:00.0,0,835,S,BELL,AVE,"REVISION TO ORIGINAL PERMIT NO.100719148, CHANGE PLUMBER CONTRACTOR TO ROYAL FLUSH PLUMBING",0,0,75,75,0,0,0,0,175,0,0,175,250,28,838200,28,1161561.7,1896039.668,41.8704097,-87.68232375,260/275
141,43685,2977185,100783890,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/19/2018 0:00,00:00.0,9/19/2018 0:00,00:00.0,0,1648,N,WINCHESTER,AVE,REVISION TO PERMIT#100730282 CHANGE MASONRY CONTRACTOR TO ENZ MASONRY INC. (EZ MASONRY INC.),0,0,75,75,0,0,0,0,0,0,0,0,75,24,240300,2,1163051.365,1911189.503,41.91195093,-87.67642889,324
142,44370,2989254,100791703,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/5/2018 0:00,00:00.0,11/5/2018 0:00,00:00.0,0,3410,W,POTOMAC,AVE,"REPAIR MASONARY PARAPET WALLS,LIME STONE,CRAKS IN  SOUTH GROUND ELEVATION AND JOINTS PER CITY VIOLATIONS ONLY.",475,50,0,525,0,0,0,0,0,0,0,0,525,23,230900,26,1153315.921,1908479.405,41.90471321,-87.71226628,306
143,44383,2989557,100791912,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/6/2018 0:00,00:00.0,11/8/2018 0:00,00:00.0,2,1426,S,HALSTED,ST,"REVISION TO PERMIT #100688738 CHANGE MASON TO FOX MASONRY, INC. CHANGE HVAC TO AMERICAN COMFORT SPECIALIST",0,0,227,227,0,0,0,0,0,0,0,0,227,28,841900,11,1171222.482,1893321.81,41.86274516,-87.64693584,153
144,44406,2990187,100792303,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11/7/2018 0:00,00:00.0,11/8/2018 0:00,00:00.0,1,1426,S,HALSTED,ST,CHANGE OF ELECTRICAL CONTRACTOR,150,0,0,150,0,0,0,0,0,0,0,0,150,28,841900,11,1171222.482,1893321.81,41.86274516,-87.64693584,153
145,44706,2996116,100795967,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,12/14/2018 0:00,00:00.0,12/14/2018 0:00,00:00.0,0,1426,S,HALSTED,ST,"REVISION TO PERMIT 100688738: ENLARGED PENTHOUSES AND ROOF DECKS FOR UNITS 1, 2, 5, 6, & 7; HWHS FOR UNITS 3 & 4 MOVED TO 1ST FLOOR; UNIT 1 FLIPPED TO MIRROR THE PLAN OF UNIT 2; EXTERIOR DOOR MOVES TO OPPOSITE SIDE OF UNIT; FLIPPED THE DIRECTION OF THE C",11551.68,0,0,11551.68,0,0,0,0,300,75,0,375,11926.68,28,841900,11,1171222.482,1893321.81,41.86274516,-87.64693584,153
146,44742,2996755,100796432,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,12/6/2018 0:00,00:00.0,12/6/2018 0:00,00:00.0,0,1652,N,LINDER,AVE,REMOVE AND REPLACE EXISTING OPEN WOOD REAR PORCH AND STAIRS AS PER PLANS.,200,75,0,275,0,0,0,0,0,0,0,0,275,25,250300,37,1139435.88,1910663.777,41.91097182,-87.76319901,16
147,44789,2997539,100796869,PERMIT - RENOVATION/ALTERATION,SELF CERT,1/14/2019 0:00,00:00.0,1/14/2019 0:00,00:00.0,0,1628,N,HONORE,ST,"CORRECT PORCH & FRONT STAIR VIOLATIONS AT PROPERTY. WORK TO INCLUDE;- REBUILD FRONT ENTRY STAIR IN SAME LOCATION AS EXISTED, 50 SF.- REBUILD CONCRETE STAIRS TO BUILDING GRADE & REINFORCE SIDEWALK RETAINING WALL.- REBUILD REAR WOOD COACH HOUSE PORCH IN SA",500,75,0,575,0,0,0,0,0,0,0,0,575,24,240300,2,1163721.113,1911002.099,41.91142258,-87.67397374,324
148,45188,3005918,100801772,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,1/25/2019 0:00,00:00.0,3/25/2019 0:00,00:00.0,59,1324,N,HOMAN,AVE,PROPOSED APARTMENT REMODEL TO INCLUDE M.E.P.,803.13,50,625,1478.13,0,0,0,0,0,0,0,0,1478.13,23,230900,26,1153411.088,1908754.608,41.9054665,-87.71190937,306
149,45211,3006521,100802083,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,6/14/2019 0:00,00:00.0,9/18/2019 0:00,00:00.0,96,3220,W,GRAND,AVE,M1-2 INTERIOR ALTERATIONS OF AN EXISTING 2-STORY INDUSTRIAL BUILDING - LIMITED MANUFACTURING TO ESTABLISH A SHARED KITCHEN USE - 41 HOUSE KITCHENS AND 1 VIRTUAL KITCHEN A TOTAL OF 42 KITCHENS FOR DELIVERY ONLY (NOT OPTN TO THE GENERAL PUBLIC)INCLUDE NEW,19881.19,75,0,19956.19,0,0,0,0,0,0,0,0,19956.19,23,836600,26,1154592.554,1906343.393,41.89882634,-87.70763403,281
150,45242,3006895,100802279,PERMIT - NEW CONSTRUCTION,SELF CERT,6/12/2019 0:00,00:00.0,6/12/2019 0:00,00:00.0,0,2313,W,TAYLOR,ST,"SELF-CERTIFICATION REVIEW: ERECT 4 STORY 7 D.U. BUILDING (3B CONSTRUCTION), 1ST FLOOR RETAIL, 10 CAR GARAGE AT 1ST FLOOR, ROOFTOP DECK, ROOFTOP STAIR ENCLOSURES AS PER PLAN.  inA separate permit must be obtained from the Department of Buildings Elevator B",11728.5,644,3756,16128.5,0,0,0,0,0,0,0,0,16128.5,28,282800,28,1161059.06,1895484.005,41.86889536,-87.68418454,260/275
151,45608,3014255,100806389,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,2/26/2019 0:00,00:00.0,2/26/2019 0:00,00:00.0,0,4715,W,ADAMS,ST,REPLACE CABINETS & 3200 SQ FT OF DRYWALL. REPAIR FRONT WOOD PORCH. SIDING ERECTING 170 LF X 6 FT HIGH WROUGHT IRON FENCE,325,125,0,450,0,0,0,0,0,0,0,0,450,25,252202,28,1144909.739,1898668.435,41.87795364,-87.74339271,57
152,46015,3021892,100811135,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,3/29/2019 0:00,00:00.0,4/25/2019 0:00,00:00.0,27,1904,W,NORTH,AVE,"INTERIOR REMODELING TO AN EXISTING RESTAURANT AT 1ST FLOOR INCLUDING ELECTRICAL, PLUMBING AND MECHANICAL WORK. ALL WORK TO BE DONE PER PLANS.",1500,75,875,2450,0,0,0,0,0,0,0,0,2450,24,240300,2,1163375.215,1910710.625,41.91063004,-87.67525267,324
153,46209,3025689,100813509,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/9/2019 0:00,00:00.0,4/9/2019 0:00,00:00.0,0,1648,N,WINCHESTER,AVE,REVISION TO PERMIT NO. 100730282; CHANGE OF MASON CONTRACTOR TO J.S. CONSTRUCTION & DEVELOPERS INC.,75,0,0,75,0,0,0,0,0,0,0,0,75,24,240300,2,1163051.365,1911189.503,41.91195093,-87.67642889,324
154,46523,3030891,100816698,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/26/2019 0:00,00:00.0,4/30/2019 0:00,00:00.0,4,3331,W,FLOURNOY,ST,SOLAR PANEL PERMIT.  INSTALL A PHOTOVOLTAIC SOLAR PANEL ARRAY ON THE  ROOF.,225,50,0,275,0,0,0,0,0,0,0,0,275,27,837300,24,1154134.712,1896793.425,41.87262942,-87.70957064,244
155,46737,3035052,100819223,PERMIT - RENOVATION/ALTERATION,SELF CERT,5/28/2019 0:00,00:00.0,5/28/2019 0:00,00:00.0,0,1455,W,HURON,ST,SELF CERTIFICATION- INTERIOR RENOVATION OF EXISTING 3 STORY WITH BASEMENT 5 DWELLING UNITS MASONRY BUILDING,2677.12,50,0,2727.12,0,0,0,0,0,0,0,0,2727.12,24,243300,27,1166357.651,1904742.065,41.89418859,-87.66446729,292
156,47441,3046795,100826714,PERMIT - NEW CONSTRUCTION,SELF CERT,7/26/2019 0:00,00:00.0,7/26/2019 0:00,00:00.0,0,808,S,OAKLEY,BLVD,"ERECT NEW 3 STORY, III-B, 4DU APARTMENT BUILDING W/BASEMENT AND ROOF DECK AND DETACHED 4 CAR GARAGE W/ROOF DECK AS PER PLANS *STRUCTURAL PEER REVIEW*",5309.5,1500,3760,10569.5,0,0,0,0,0,0,0,0,10569.5,28,282800,28,1161141.805,1896280.386,41.87107898,-87.68385864,260/275
157,47673,3050879,100829425,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,7/30/2019 0:00,00:00.0,11/4/2019 0:00,00:00.0,97,1747,N,LINDER,AVE,ERECT A NEW 2 STORY FRAME SINGLE FAMILY HOME  WITH BASEMENT AND 2 CAR DETACHED FRAME GARAGE AS PER PLANS.(CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS),2500,150,940,3590,0,0,0,0,0,0,0,0,3590,25,250300,37,1139494.738,1911269.815,41.91263378,-87.76296798,16
158,47793,3053488,100830794,PERMIT - RENOVATION/ALTERATION,SELF CERT,8/5/2019 0:00,00:00.0,8/5/2019 0:00,00:00.0,0,3340,W,POLK,ST,"INTERIOR REMODEL OF EXISTING 3-STORY, 3-UNIT RESIDENTIAL BRICK BUILDING, INCLUDING ELECTRICAL, PLUMBING AND HVAC AND REPLACEMENT OF REAR PORCH, SAME SIZE & LOCATION.",986.34,50,0,1036.34,0,0,0,0,0,0,0,0,1036.34,27,837300,24,1154050.716,1896207.692,41.87102378,-87.70989465,244
159,48188,3060422,100834973,PERMIT - RENOVATION/ALTERATION,SELF CERT,8/14/2019 0:00,00:00.0,8/14/2019 0:00,00:00.0,0,812,S,OAKLEY,BLVD,"INTERIOR RENOVATION & MASONRY WALL REPAIR IN EXISTING 2 STORY, III-B, SFR AS PER PLANS",500,50,0,550,0,0,0,0,0,0,0,0,550,28,282800,28,1161142.941,1896238.988,41.87096536,-87.68385562,260/275
160,48275,3062446,100836113,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,8/15/2019 0:00,00:00.0,8/15/2019 0:00,00:00.0,0,1920,W,NORTH,AVE,CHANGE OF VENTILATION CONTRACTOR TO EXISTING PERMIT#100807831,0,0,150,150,0,0,0,0,0,0,0,0,150,24,240300,2,1163190.327,1910705.701,41.91062042,-87.67593201,324
161,48560,3067025,100838791,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/12/2019 0:00,00:00.0,11/22/2019 0:00,00:00.0,71,732,N,ADA,ST,"INTERIOR & EXTERIOR REHAB, REPLACE REAR ENCLOSED PORCH W/ NEW (3) STORY 12ftX8ft OPEN WOOD PORCH IN EXIST. 3 STORY BRICK/FRAME BLDG. W/ ATTIC, AS PER PLANS. THE SCOPE OF WORK INCLUDE: ARCHITECTURAL, PLUMBING, HVAC & ELECTRIC. CURRENT USE: RESIDENTIAL 6 D.U",2218.08,75,0,2293.08,0,0,0,0,0,0,0,0,2293.08,24,243400,27,1167154.152,1905167.137,41.89533794,-87.66152978,292
162,48679,3068981,100840009,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,3/6/2020 0:00,00:00.0,3/10/2020 0:00,00:00.0,4,1447,W,SUPERIOR,ST,"INTERIOR RENOVATIONS, ADDING TO SIXTEEEN (16)APARTMENT UNITS IN A TWO STORY BUILDING BUILDING W/BASEMENT PER PLANS CURRENT USE A-2 MONASTERY PROPOSED USE A-2/RESIDENTIAL **CERTIFIED PLANS CORRECTIONS: CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS **",8317.5,150,6573,15040.5,0,0,0,0,0,0,0,0,15040.5,24,243300,27,1166436.78,1905072.949,41.89509487,-87.6641672,292
163,48712,3069489,100840323,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/11/2019 0:00,00:00.0,9/11/2019 0:00,00:00.0,0,1455,W,HURON,ST,INSTALLATION OF DATA AND PHONE,225,0,0,225,0,0,0,0,0,0,0,0,225,24,243300,27,1166357.651,1904742.065,41.89418859,-87.66446729,292
164,48882,3072707,100842254,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/23/2019 0:00,00:00.0,9/23/2019 0:00,00:00.0,0,800,N,KEDZIE,AVE,REVISION TO PERMIT #100840931 TO CHANGE GC TO SI TUMBLER CONSTRUCTION INC. HVAC CONTACTOR TO 153 HEAT & POWER & PLUMBING CONTRATOR TO TRUSTY PLUMBING INC,0,0,75,75,0,0,0,0,0,0,0,0,75,23,836600,27,1154853.936,1905175.142,41.89561531,-87.70670533,281
165,48891,3072901,100842390,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,10/5/2019 0:00,00:00.0,11/26/2019 0:00,00:00.0,52,3220,W,GRAND,AVE,"REVISION TO PERMIT 100802083 TO INCLUDE RELOCATION OF ELECTRICAL ROOM, NEW ELECTRICAL EQUIPMENT AT THE EXTERIOR, RELOCATED GREASE INTERCEPTOR, AND REVISED HVAC SYSTEM LAYOUT  WITH ASSOCIATED STRUCTURAL REDESIGN. PROPOSED USES: SHARED KITCHEN FACILITY WIT",1500,75,0,1575,0,0,0,0,0,0,0,0,1575,23,836600,26,1154592.554,1906343.393,41.89882634,-87.70763403,281
166,49282,3080159,100847037,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,11/8/2019 0:00,00:00.0,2/24/2020 0:00,00:00.0,108,1455,W,HURON,ST,NEW DWELLING UNIT IN BASEMENT (CONVERT FROM 5 DU TO 6 DU) IN 3 STORY MASONRY BUILDING,1500,125,626,2251,0,0,0,0,0,0,0,0,2251,24,243300,27,1166357.651,1904742.065,41.89418859,-87.66446729,292
167,49295,3080505,100847216,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,10/22/2019 0:00,00:00.0,10/22/2019 0:00,00:00.0,0,3310,W,26TH,ST,FURNACE (REPLACEMENT ONLY): QTY 1,75,0,0,75,0,0,0,0,0,0,0,0,75,30,300800,12,1154638.739,1886577.334,41.84458525,-87.7079933,157
168,49416,3082662,100848460,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10/30/2019 0:00,00:00.0,10/30/2019 0:00,00:00.0,0,800,N,KEDZIE,AVE,ALTERNATIVE CODE APPROVAL- INSTALLATION OF ALTERNATIVE MATERIALS FOR SCHEDULE 40 PVC & COPPER FOR WASTE & VENT LINES ABOVE GRADE FOR PERMIT #100840931,75,0,0,75,0,0,0,0,0,0,0,0,75,23,836600,27,1154853.936,1905175.142,41.89561531,-87.70670533,281
169,49745,3088636,100851958,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/21/2019 0:00,00:00.0,11/21/2019 0:00,00:00.0,0,1455,W,SUPERIOR,ST,REVISION TO PERMIT#100725808 ALT. CODE APPROVAL:CHANGE APPROVED UNDERGOUND WASTE AND VENT CAST IRON PIPING TO PVC OF NEW 6 UNIT BUILDING. ALSO USE EXTERIOR PLASTIC DOWNSPOUTS ON THE DOWNSPOUT LINE.,75,0,0,75,0,0,0,0,0,0,0,0,75,24,243300,27,1166348.337,1905070.457,41.89508992,-87.6644921,292
170,49821,3089954,100852739,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/27/2019 0:00,00:00.0,11/27/2019 0:00,00:00.0,0,732,N,ADA,ST,REVISION TO CHANGE OF PLUMBING CONTRACTOR.PERMIT#100807278.L & L PLUMBING INC,75,0,0,75,0,0,0,0,0,0,0,0,75,24,243400,27,1167154.152,1905167.137,41.89533794,-87.66152978,292
171,50717,3107304,100862736,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/13/2020 0:00,00:00.0,2/13/2020 0:00,00:00.0,0,1365,W,CHICAGO,AVE,TEMP POWER FOR NBA ALL-STAR EVENT,150,0,0,150,0,0,0,0,0,0,0,0,150,24,243400,27,1167040.144,1905424.778,41.89604738,-87.6619411,292
172,50780,3108196,100863336,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,2/19/2020 0:00,00:00.0,2/19/2020 0:00,00:00.0,0,864,N,KEDZIE,AVE,TUCKPOINTING - NO STRUCTURAL WORK - 2000 SQFT,475,50,0,525,0,0,0,0,0,0,0,0,525,23,836600,27,1154832.447,1905852.372,41.89747413,-87.70676609,281
173,51089,3113324,100866570,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,3/20/2020 0:00,00:00.0,5/13/2020 0:00,00:00.0,54,5714,W,ERIE,ST,"INTERIOR ALTERATIONS TO AN EXISTING SINGLE FAMILY HOME,NEW SECOND FLOOR ADDITION, REMOVE & REPLACE REAR ONE STORY ENCLOSED PORCH, REMOVE & REPLACE ONE STORY FRONT &REAR WOOD PORCH AS PER PLANS (conditional permit subject to field inspections)",750,50,0,800,0,0,0,0,0,0,0,0,800,25,251400,29,1137996.824,1903760.644,41.89205491,-87.7686526,268
174,51133,3114207,100867135,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/6/2020 0:00,00:00.0,4/6/2020 0:00,00:00.0,0,3120,S,KOSTNER,AVE,"CPS SCHOOL, NO CHANGE IN USE. SELF-CERT PROJECT FOR PARTIAL INTERIOR RENOVATION OF EXISTING SCIENCE CLASSROOMS IN EXISTING 2-STORY SCHOOL BUILDING. CONSTRUCTION TO INCLUDE ASSOCIATED ELECTRICAL, MECHANICAL, AND PLUMBING WORK. CURRENT USE: C-3 TYPE-1B SCH",0,0,0,0,0,0,0,0,500,75,0,575,575,30,830500,22,1147521.302,1883405.128,41.83601954,-87.73419465,49
175,51145,3114417,100867277,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,3/27/2020 0:00,00:00.0,4/29/2020 0:00,00:00.0,33,2308,W,TAYLOR,ST,"interior renovations of existing 3 story 3 dwelling units masonry building with basement. new rear wood porch. mechanical, electrical, and plumbing included. all work as per plans",1421.37,50,0,1471.37,0,0,0,0,0,0,0,0,1471.37,28,282800,28,1161100.094,1895564.943,41.86911661,-87.68403164,260/275
176,51433,3117398,100869500,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,4/2/2020 0:00,00:00.0,4/2/2020 0:00,00:00.0,0,732,N,ADA,ST,"MASONRY REPAIR WORK, REPLACE DETERIORATED BRICKS AS NEEDED (APPROX 150); TUCKPOINT THROUGHOUT",350,50,0,400,0,0,0,0,0,0,0,0,400,24,243400,27,1167154.152,1905167.137,41.89533794,-87.66152978,292
177,52444,3128746,100879061,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,6/23/2020 0:00,00:00.0,6/23/2020 0:00,00:00.0,0,3220,W,GRAND,AVE,"INSTALLATION OF DATA, SECURITY & CCTV",225,0,0,225,0,0,0,0,0,0,0,0,225,23,836600,26,1154592.554,1906343.393,41.89882634,-87.70763403,281
178,52524,3129947,100879938,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,7/24/2020 0:00,00:00.0,7/28/2020 0:00,00:00.0,4,814,S,LEAVITT,ST,INTERIOR ALTERATION OF EXISTING TWO STORY 2 DU BRICK BUILDING AS PER PLAN,975.35,50,0,1025.35,0,0,0,0,0,0,0,0,1025.35,28,838200,28,1161810.073,1896257.102,41.87100119,-87.68140583,260/275
179,52569,3130582,100880428,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,7/1/2020 0:00,00:00.0,7/1/2020 0:00,00:00.0,0,1901,W,WABANSIA,AVE,"REVISION TO PERMIT#100745449 CHANGE PLUMBING CONTRACTOR TO PH PLUMBING, INC.",75,0,0,75,0,0,0,0,0,0,0,0,75,24,240300,2,1163404.514,1911295.794,41.91223517,-87.67512854,324
180,52661,3131831,100881472,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,7/8/2020 0:00,00:00.0,7/8/2020 0:00,00:00.0,0,1825,W,WABANSIA,AVE,"MASONRY REPAIR: REPLACE LIMESTONE KEYS, REPLACE COPINGS, REPLACE DAMAGED BRICKS AS NEEDED, CAULK JOINTS, REBUILD WEST PARAPET WALL WITH NEW COPING, REINSTALL EXISTING LINTELS (UNDER 6ft), TUCKPOINTING AS NEEDED",550,50,0,600,0,0,0,0,0,0,0,0,600,24,240300,32,1163793.871,1911306.492,41.91225631,-87.67369785,324
181,53167,3138806,100886889,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,8/13/2020 0:00,00:00.0,8/13/2020 0:00,00:00.0,0,1409,W,CHICAGO,AVE,"SPOT TUCKPOINTING, PAINT SIDES & REAR CINDER BLOCK",300,50,0,350,0,0,0,0,0,0,0,0,350,24,243300,27,1166810.462,1905417.899,41.89603343,-87.66278486,292
182,53333,3141524,100889044,PERMIT - RENOVATION/ALTERATION,SELF CERT,12/10/2020 0:00,00:00.0,12/10/2020 0:00,00:00.0,0,1611,N,WOLCOTT,AVE,[SELF-CERT] RENOVATION OF EXTG SPACE WITH MINIMAL CHANGES TO MEP SYSTEMS,750,75,0,825,0,0,0,0,0,0,0,0,825,24,240300,2,1163474.347,1910809.659,41.91089971,-87.6748857,324
